pays,poids1,nou1,v0t1,t12022,r36b,q27_i2,q27_i22,q27_i31,q27_i32,q27_i8,q27_i14,q27_i23,q31bv15_i4
1,1.5482905,7.0,1.0,13.0,12.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,2.0
1,0.5337682,3.0,1.0,6.0,12.0,,4.0,3.0,,4.0,2.0,2.0,2.0
1,0.5414448,6.0,1.0,6.0,5.0,2.0,2.0,2.0,,,,2.0,2.0
1,1.2010504,3.0,1.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,1.0
1,1.2025036,5.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0
1,0.2304383,0.0,1.0,2.0,2.0,4.0,4.0,4.0,1.0,3.0,4.0,1.0,1.0
1,0.7176113,6.0,1.0,8.0,5.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0
1,0.7200789,1.0,2.0,,7.0,3.0,4.0,4.0,,4.0,3.0,4.0,2.0
1,0.7388371,3.0,1.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0
1,0.7902238,5.0,1.0,7.0,5.0,,3.0,4.0,3.0,,2.0,4.0,4.0
1,1.0746025,2.0,2.0,,,4.0,4.0,3.0,,3.0,3.0,2.0,2.0
1,2.1260231,6.0,1.0,13.0,5.0,2.0,2.0,1.0,4.0,2.0,3.0,3.0,1.0
1,0.5299796,9.0,1.0,2.0,2.0,2.0,3.0,,2.0,3.0,1.0,4.0,3.0
1,0.7375142,5.0,1.0,7.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
1,0.7955558,5.0,1.0,7.0,5.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,1.0
1,0.8825558,7.0,1.0,7.0,5.0,,4.0,3.0,3.0,2.0,3.0,3.0,
1,0.9504755,3.0,1.0,7.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0
1,0.4341779,5.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0
1,0.4523345,9.0,1.0,9.0,8.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,1.0
1,0.4590463,10.0,1.0,11.0,9.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0
1,0.5003322,99.0,1.0,11.0,9.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1,0.5210895,9.0,1.0,11.0,9.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0
1,0.5270329,0.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0
1,0.5462506,99.0,1.0,11.0,9.0,1.0,3.0,1.0,4.0,4.0,3.0,3.0,1.0
1,0.5485118,5.0,1.0,11.0,9.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0
1,0.5548624,6.0,1.0,11.0,9.0,1.0,3.0,3.0,4.0,1.0,3.0,3.0,3.0
1,0.5752903,7.0,1.0,11.0,9.0,1.0,1.0,1.0,2.0,4.0,1.0,4.0,4.0
1,0.5854852,5.0,1.0,10.0,3.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0
1,0.6089084,10.0,1.0,11.0,9.0,1.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0
1,0.6089084,8.0,1.0,11.0,9.0,1.0,3.0,1.0,4.0,1.0,1.0,4.0,3.0
1,0.631352,10.0,1.0,11.0,9.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0
